80,-96,-1012
84,-104,-1032
92,-104,-1056
76,-100,-1024
108,-92,-1024
56,-124,-1044
84,-116,-1056
100,-112,-1092
72,-100,-1008
32,-120,-1000
52,-132,-1064
100,-84,-1000
116,-96,-1012
108,-100,-1032
100,-108,-1052
96,-144,-1112
-40,-200,-1108
-28,-152,-1196
-140,-224,-1164
-312,-208,-784
-388,-252,-1000
-516,-288,-664
-680,-308,-736
-696,-296,-520
-808,-300,-344
-1032,-252,-828
-908,-272,-104
-1172,-284,-288
-832,-396,228
-900,-348,296
-800,-412,436
-764,-384,444
-644,-296,476
-948,-388,628
-760,-284,524
-604,-328,592
-572,-268,720
-660,-216,784
-608,-196,876
-424,-156,876
-492,-156,992
-352,-100,940
-324,-180,996
-144,-144,896
-328,-132,1008
-376,-76,1032
-348,-124,880
-400,-172,948
-544,-108,1012
-856,28,524
-924,-120,472
-964,16,-104
-1072,-100,-148
-968,-56,-556
-648,-156,-812
-692,-164,-1056
-292,32,-732
-152,-152,-1072
184,-140,-1136
280,-12,-928
692,32,-856
768,100,-696
980,72,-656
900,76,-544
892,-8,-560
884,56,-376
1436,88,-344
788,-16,-276
732,-28,116
1280,32,16
1004,4,196
856,88,380
732,112,504
764,116,444
732,100,600
524,168,852
412,216,924
616,208,816
408,316,832
316,292,964
448,348,460
568,308,1152
328,276,1084
332,376,912
320,196,800
252,44,688
272,252,804
84,596,1264
528,252,936
468,272,1152
744,108,640
748,72,608
796,-36,16
1272,0,780
900,-128,-504
1148,-84,-188
552,-208,-724
624,-188,-576
448,-288,-772
400,-296,-844
64,-352,-1180
56,-260,-1244
-160,-304,-628
-440,-268,-1116
-536,-408,-812
-916,-204,-852
-660,-280,-1176
-676,-208,-348
-1036,-76,-488
-940,-120,152
-1212,-92,-56
-960,-104,548
-1084,-48,408
-896,-92,432
-808,-84,736
-724,12,472
-564,-92,860
-668,12,884
-444,-4,824
-372,-16,872
-428,112,1096
-332,44,952
-120,44,1056
-268,24,912
-372,16,1020
-440,72,1100
-580,116,884
-644,-64,716
-696,8,944
-872,16,-16
-984,100,8
-984,-72,-172
-828,-208,-664
-508,12,-504
-388,-200,-1424
-136,24,-688
8,-60,-1288
320,-40,-1188
272,-8,-1064
488,-16,-1044
576,84,-800
692,76,-656
700,52,-680
